Runing compare from /home/zhongjiafeng/Model/N801/models/experiment/TT/tent/origin_scores.txt to /home/zhongjiafeng/Model/N801/models/experiment/TT/tent/tent_step_3_scores.txt.
EER 1 : 27.560000000000002           EER 2 : 41.43.
Threshold 1 : -5.629968643188     Threshold 2 : -6.816090583801.
===========================================================================================
total number of change to right : 4554 
utt change to right:    file_name      |    score 1    |    score 2    |
utt change to right:    20001283.wav    | -5.531428337097 | -7.008929252625 |
utt change to right:    20001285.wav    | -5.573926925659 | -7.036817550659 |
utt change to right:    20001297.wav    | -5.477974891663 | -6.822182655334 |
utt change to right:    20001299.wav    | -5.469851493835 | -6.825841426849 |
utt change to right:    20001301.wav    | -5.526260375977 | -7.03061914444 |
utt change to right:    20001305.wav    | -5.531428337097 | -7.008929252625 |
utt change to right:    20001335.wav    | -5.573077201843 | -6.978194236755 |
utt change to right:    20001354.wav    | -5.271430969238 | -6.917372226715 |
utt change to right:    20001367.wav    | -5.372841835022 | -6.983975887299 |
utt change to right:    20001374.wav    | -5.44012594223 | -6.947834014893 |
utt change to right:    20001376.wav    | -5.436892986298 | -7.130114078522 |
utt change to right:    20001387.wav    | -5.444445610046 | -7.096571922302 |
utt change to right:    20001400.wav    | -5.517439842224 | -7.207253456116 |
utt change to right:    20001406.wav    | -5.552653312683 | -6.930707931519 |
utt change to right:    20001407.wav    | -5.576810836792 | -6.842791080475 |
utt change to right:    20001413.wav    | -5.393948078156 | -6.966599464417 |
utt change to right:    20001418.wav    | -5.566385746002 | -7.089715957642 |
utt change to right:    20001423.wav    | -5.288316726685 | -6.85437297821 |
utt change to right:    20001448.wav    | -5.435539245605 | -6.877111911774 |
utt change to right:    20001458.wav    | -5.447271347046 | -6.860575199127 |
utt change to right:    20001492.wav    | -5.348216056824 | -6.966336727142 |
utt change to right:    20001548.wav    | -5.498956680298 | -7.120279788971 |
utt change to right:    20001666.wav    | -5.504789352417 | -6.910535335541 |
utt change to right:    20001669.wav    | -5.417532444 | -7.006942749023 |
utt change to right:    20001744.wav    | -5.579907417297 | -7.302493095398 |
utt change to right:    20001781.wav    | -5.22306728363 | -6.837455749512 |
utt change to right:    20001817.wav    | -5.434519767761 | -7.157104492188 |
utt change to right:    20001878.wav    | -5.594471931458 | -6.881181716919 |
utt change to right:    20001954.wav    | -5.509116649628 | -7.264176368713 |
utt change to right:    20001956.wav    | -5.338260650635 | -7.012324333191 |
utt change to right:    20001970.wav    | -5.195157051086 | -7.005611419678 |
utt change to right:    20001998.wav    | -5.512177467346 | -7.065320491791 |
utt change to right:    20002005.wav    | -5.324261188507 | -7.069440841675 |
utt change to right:    20002026.wav    | -5.54807472229 | -7.258376121521 |
utt change to right:    20002031.wav    | -5.584195137024 | -7.155193328857 |
utt change to right:    20002033.wav    | -5.473908424377 | -6.881278991699 |
utt change to right:    20002034.wav    | -5.27710723877 | -6.958417892456 |
utt change to right:    20002039.wav    | -5.326943397522 | -6.880970478058 |
utt change to right:    20002081.wav    | -5.483986854553 | -7.062303543091 |
utt change to right:    20002082.wav    | -5.452412128448 | -7.031234264374 |
utt change to right:    20002085.wav    | -5.516842842102 | -6.999493598938 |
utt change to right:    20002088.wav    | -5.217776298523 | -6.844782352448 |
utt change to right:    20002093.wav    | -5.520715236664 | -6.9996509552 |
utt change to right:    20002098.wav    | -5.127760887146 | -6.82470035553 |
utt change to right:    20002119.wav    | -5.616750717163 | -6.901298522949 |
utt change to right:    20002120.wav    | -5.510057449341 | -7.232674598694 |
utt change to right:    20002198.wav    | -5.222678184509 | -6.890157699585 |
utt change to right:    20002219.wav    | -5.537092685699 | -7.285150051117 |
utt change to right:    20002244.wav    | -5.588751792908 | -6.954098701477 |
utt change to right:    20002247.wav    | -5.592805862427 | -7.284870147705 |
utt change to right:    20002253.wav    | -5.541073799133 | -6.867098808289 |
utt change to right:    20002282.wav    | -5.255983352661 | -6.987283706665 |
utt change to right:    20002307.wav    | -5.506134986877 | -6.861706733704 |
utt change to right:    20002366.wav    | -5.502446174622 | -7.198448181152 |
utt change to right:    20002369.wav    | -5.454358100891 | -7.095024108887 |
utt change to right:    20002373.wav    | -5.436942100525 | -7.113121032715 |
utt change to right:    20002403.wav    | -5.4923787117 | -7.14799785614 |
utt change to right:    20002407.wav    | -5.510634422302 | -7.233717441559 |
utt change to right:    20002413.wav    | -5.418280601501 | -7.092968940735 |
utt change to right:    20002424.wav    | -5.606650352478 | -7.058150291443 |
utt change to right:    20002426.wav    | -5.44761800766 | -7.003316879272 |
utt change to right:    20002430.wav    | -5.606650352478 | -7.058150291443 |
utt change to right:    20002431.wav    | -5.305788516998 | -6.980372428894 |
utt change to right:    20002440.wav    | -5.469779491425 | -6.940214633942 |
utt change to right:    20002452.wav    | -5.543508529663 | -7.339376449585 |
utt change to right:    20002455.wav    | -5.25253200531 | -6.866457939148 |
utt change to right:    20002458.wav    | -5.565917015076 | -7.225313663483 |
utt change to right:    20002462.wav    | -5.470061302185 | -7.261988639832 |
utt change to right:    20002465.wav    | -5.4923787117 | -7.14799785614 |
utt change to right:    20002476.wav    | -5.407508850098 | -7.082876205444 |
utt change to right:    20002480.wav    | -5.417784690857 | -6.974901199341 |
utt change to right:    20002484.wav    | -5.172273159027 | -6.899087429047 |
utt change to right:    20002486.wav    | -5.376685142517 | -6.955453395844 |
utt change to right:    20002489.wav    | -5.60360622406 | -6.81883430481 |
utt change to right:    20002490.wav    | -5.531240463257 | -7.239971637726 |
utt change to right:    20002509.wav    | -5.291517734528 | -6.959116458893 |
utt change to right:    20002530.wav    | -5.297669410706 | -6.960013389587 |
utt change to right:    20002538.wav    | -5.372800827026 | -7.149468898773 |
utt change to right:    20002542.wav    | -5.180249214172 | -6.993085861206 |
utt change to right:    20002545.wav    | -5.426398277283 | -7.189589500427 |
utt change to right:    20002550.wav    | -5.547530174255 | -7.156967163086 |
utt change to right:    20002551.wav    | -5.531240463257 | -7.206838607788 |
utt change to right:    20002565.wav    | -5.398705482483 | -7.039912700653 |
utt change to right:    20002568.wav    | -5.422165870667 | -7.198088645935 |
utt change to right:    20002572.wav    | -5.618649482727 | -7.112358093262 |
utt change to right:    20002577.wav    | -5.44865655899 | -7.084199905396 |
utt change to right:    20002578.wav    | -5.562853813171 | -6.909724235535 |
utt change to right:    20002579.wav    | -5.566188812256 | -7.216824531555 |
utt change to right:    20002587.wav    | -5.467107772827 | -7.18084526062 |
utt change to right:    20002600.wav    | -5.281059265137 | -7.029960632324 |
utt change to right:    20002611.wav    | -5.408898830414 | -7.193544387817 |
utt change to right:    20002622.wav    | -5.623542785645 | -7.155376911163 |
utt change to right:    20002623.wav    | -5.388856887817 | -6.950001716614 |
utt change to right:    20002626.wav    | -5.55588722229 | -7.080137252808 |
utt change to right:    20002638.wav    | -5.259948730469 | -7.026588439941 |
utt change to right:    20002643.wav    | -5.62589263916 | -7.058574676514 |
utt change to right:    20002648.wav    | -5.37037563324 | -7.136435508728 |
utt change to right:    20002666.wav    | -5.4944024086 | -6.994428634644 |
utt change to right:    20002696.wav    | -5.338421821594 | -7.140371799469 |
utt change to right:    20002707.wav    | -5.51379108429 | -7.24311542511 |
utt change to right:    20002710.wav    | -5.309127807617 | -6.819654464722 |
utt change to right:    20002718.wav    | -5.507342338562 | -7.141236305237 |
utt change to right:    20002721.wav    | -5.126169681549 | -6.816972732544 |
utt change to right:    20002750.wav    | -5.165119171143 | -6.983098983765 |
utt change to right:    20002754.wav    | -5.575556278229 | -7.131513595581 |
utt change to right:    20002757.wav    | -5.358878135681 | -7.163166046143 |
utt change to right:    20002773.wav    | -5.176230430603 | -6.859635829926 |
utt change to right:    20002774.wav    | -5.472903251648 | -7.187534332275 |
utt change to right:    20002778.wav    | -5.527354717255 | -7.184118747711 |
utt change to right:    20002800.wav    | -5.355708122253 | -7.139644622803 |
utt change to right:    20002803.wav    | -5.352807998657 | -6.949907779694 |
utt change to right:    20002805.wav    | -5.318343162537 | -7.042433738708 |
utt change to right:    20002807.wav    | -5.584620475769 | -6.849557876587 |
utt change to right:    20002816.wav    | -5.493103504181 | -7.097395896912 |
utt change to right:    20002820.wav    | -5.551048278809 | -7.343046188354 |
utt change to right:    20002861.wav    | -5.409915924072 | -7.195687294006 |
utt change to right:    20002864.wav    | -5.15816116333 | -6.833954811096 |
utt change to right:    20002866.wav    | -5.625562667847 | -7.368543148041 |
utt change to right:    20002870.wav    | -5.463544368744 | -7.157646179199 |
utt change to right:    20002874.wav    | -5.413310527802 | -6.977172851562 |
utt change to right:    20002887.wav    | -5.555042266846 | -7.043458938599 |
utt change to right:    20002895.wav    | -5.32902097702 | -7.174007892609 |
utt change to right:    20002898.wav    | -5.588421821594 | -7.171786308289 |
utt change to right:    20002901.wav    | -5.615631103516 | -7.360235691071 |
utt change to right:    20002929.wav    | -5.393237113953 | -6.882754325867 |
utt change to right:    20002938.wav    | -5.36674118042 | -7.057655334473 |
utt change to right:    20002942.wav    | -5.610569000244 | -7.122886657715 |
utt change to right:    20002947.wav    | -5.46656370163 | -7.092998981476 |
utt change to right:    20002948.wav    | -5.46656370163 | -7.092998981476 |
utt change to right:    20002955.wav    | -5.578195571899 | -7.261871337891 |
utt change to right:    20002961.wav    | -5.352496623993 | -7.161388397217 |
utt change to right:    20002964.wav    | -5.221984863281 | -6.998507976532 |
utt change to right:    20002977.wav    | -5.266362190247 | -7.062697410583 |
utt change to right:    20002979.wav    | -5.557075500488 | -7.215754508972 |
utt change to right:    20002981.wav    | -5.566891670227 | -7.344251155853 |
utt change to right:    20002988.wav    | -5.352496623993 | -7.161388397217 |
utt change to right:    20002990.wav    | -5.503790855408 | -7.141471862793 |
utt change to right:    20003000.wav    | -5.502412796021 | -7.095880508423 |
utt change to right:    20003010.wav    | -5.295406341553 | -7.127296924591 |
utt change to right:    20003030.wav    | -5.271321296692 | -6.976281166077 |
utt change to right:    20003048.wav    | -5.60541343689 | -7.201781272888 |
utt change to right:    20003062.wav    | -5.525955200195 | -7.008074760437 |
utt change to right:    20003066.wav    | -5.291570663452 | -7.036625862122 |
utt change to right:    20003072.wav    | -5.254535198212 | -7.085915565491 |
utt change to right:    20003099.wav    | -5.59981584549 | -7.370228767395 |
utt change to right:    20003131.wav    | -5.497126579285 | -7.126881599426 |
utt change to right:    20003137.wav    | -5.579035758972 | -7.188903808594 |
utt change to right:    20003151.wav    | -5.563077926636 | -7.267812728882 |
utt change to right:    20003158.wav    | -5.582922935486 | -7.046305179596 |
utt change to right:    20003172.wav    | -5.341336250305 | -6.935441017151 |
utt change to right:    20003175.wav    | -5.613458633423 | -7.168581008911 |
utt change to right:    20003176.wav    | -5.486410140991 | -7.200082778931 |
utt change to right:    20003177.wav    | -5.486410140991 | -7.200082778931 |
utt change to right:    20003188.wav    | -5.616971492767 | -7.35162115097 |
utt change to right:    20003202.wav    | -5.525277137756 | -7.103549957275 |
utt change to right:    20003203.wav    | -5.551317214966 | -7.176561355591 |
utt change to right:    20003221.wav    | -5.413548469543 | -7.278335571289 |
utt change to right:    20003242.wav    | -5.404844760895 | -7.247742176056 |
utt change to right:    20003257.wav    | -5.393759727478 | -7.083523750305 |
utt change to right:    20003259.wav    | -5.304020881653 | -6.940654754639 |
utt change to right:    20003266.wav    | -5.319606781006 | -6.895403385162 |
utt change to right:    20003277.wav    | -5.325412750244 | -6.944037914276 |
utt change to right:    20003289.wav    | -5.274356842041 | -6.988109588623 |
utt change to right:    20003304.wav    | -5.627562522888 | -7.317006587982 |
utt change to right:    20003312.wav    | -5.576259613037 | -7.283599853516 |
utt change to right:    20003314.wav    | -5.357051849365 | -7.070591926575 |
utt change to right:    20003319.wav    | -5.350989341736 | -7.269248008728 |
utt change to right:    20003329.wav    | -5.430527687073 | -7.105144500732 |
utt change to right:    20003330.wav    | -5.123584747314 | -6.865549087524 |
utt change to right:    20003335.wav    | -5.188334465027 | -6.826819419861 |
utt change to right:    20003365.wav    | -5.450350761414 | -7.213640213013 |
utt change to right:    20003383.wav    | -5.404844760895 | -7.268503189087 |
utt change to right:    20003397.wav    | -5.291984558105 | -6.98717212677 |
utt change to right:    20003400.wav    | -5.206024169922 | -6.945428371429 |
utt change to right:    20003417.wav    | -5.62140083313 | -7.319395065308 |
utt change to right:    20003435.wav    | -5.446698188782 | -7.107911109924 |
utt change to right:    20003436.wav    | -5.603639125824 | -6.95489692688 |
utt change to right:    20003440.wav    | -5.145334243774 | -6.85715675354 |
utt change to right:    20003444.wav    | -5.607915878296 | -7.266396522522 |
utt change to right:    20003454.wav    | -5.085670471191 | -6.942148208618 |
utt change to right:    20003457.wav    | -5.501549720764 | -6.855319499969 |
utt change to right:    20003466.wav    | -5.615010738373 | -7.160665988922 |
utt change to right:    20003468.wav    | -5.069445610046 | -6.945572853088 |
utt change to right:    20003471.wav    | -5.215414047241 | -7.00031375885 |
utt change to right:    20003475.wav    | -5.530679702759 | -7.162082672119 |
utt change to right:    20003477.wav    | -5.451406002045 | -7.201014518738 |
utt change to right:    20003484.wav    | -5.343793869019 | -7.067169189453 |
utt change to right:    20003490.wav    | -5.351266860962 | -7.125424861908 |
utt change to right:    20003496.wav    | -5.246819972992 | -6.921151161194 |
utt change to right:    20003497.wav    | -5.593688488007 | -6.8336353302 |
utt change to right:    20003515.wav    | -5.62246799469 | -6.981934547424 |
utt change to right:    20003518.wav    | -5.125545978546 | -6.947571277618 |
utt change to right:    20003528.wav    | -5.501588821411 | -7.208681106567 |
utt change to right:    20003530.wav    | -5.597544670105 | -7.330853462219 |
utt change to right:    20003534.wav    | -5.291663169861 | -7.006114959717 |
utt change to right:    20003541.wav    | -5.063592910767 | -6.868451118469 |
utt change to right:    20003542.wav    | -5.53048324585 | -7.381806850433 |
utt change to right:    20003548.wav    | -5.400920391083 | -7.116131305695 |
utt change to right:    20003555.wav    | -5.461539268494 | -7.208036422729 |
utt change to right:    20003570.wav    | -5.240468978882 | -7.149157524109 |
utt change to right:    20003571.wav    | -5.556751251221 | -6.942071914673 |
utt change to right:    20003578.wav    | -5.585529327393 | -7.363123893738 |
utt change to right:    20003583.wav    | -5.127437591553 | -7.053833007812 |
utt change to right:    20003594.wav    | -5.555695533752 | -6.917776107788 |
utt change to right:    20003601.wav    | -5.329745292664 | -7.104376792908 |
utt change to right:    20003603.wav    | -4.740193367004 | -7.142505168915 |
utt change to right:    20003604.wav    | -5.173341751099 | -7.166161060333 |
utt change to right:    20003605.wav    | -5.540630340576 | -7.313438415527 |
utt change to right:    20003608.wav    | -5.112245559692 | -7.325728416443 |
utt change to right:    20003610.wav    | -5.340418815613 | -7.09742307663 |
utt change to right:    20003616.wav    | -5.054895401001 | -7.24048614502 |
utt change to right:    20003621.wav    | -5.444226264954 | -7.68835735321 |
utt change to right:    20003623.wav    | -5.426653385162 | -7.475329399109 |
utt change to right:    20003628.wav    | -5.585193157196 | -7.608929634094 |
utt change to right:    20003629.wav    | -5.017486095428 | -7.424665927887 |
utt change to right:    20003636.wav    | -4.725764751434 | -7.00615644455 |
utt change to right:    20003638.wav    | -4.365473270416 | -6.831943511963 |
utt change to right:    20003639.wav    | -5.342040538788 | -7.293977737427 |
utt change to right:    20003642.wav    | -5.434717178345 | -7.214708328247 |
utt change to right:    20003653.wav    | -4.66672039032 | -6.901665687561 |
utt change to right:    20003654.wav    | -4.818748474121 | -7.088468074799 |
utt change to right:    20003656.wav    | -5.359144210815 | -6.996964454651 |
utt change to right:    20003660.wav    | -5.44721031189 | -7.105834960938 |
utt change to right:    20003661.wav    | -5.208168983459 | -7.241581916809 |
utt change to right:    20003667.wav    | -5.628310680389 | -7.957960128784 |
utt change to right:    20003672.wav    | -5.181727409363 | -7.036653995514 |
utt change to right:    20003677.wav    | -5.070833206177 | -7.096485137939 |
utt change to right:    20003678.wav    | -5.255221366882 | -7.249180793762 |
utt change to right:    20003679.wav    | -5.309914588928 | -7.118159294128 |
utt change to right:    20003682.wav    | -4.5803565979 | -6.846571922302 |
utt change to right:    20003685.wav    | -5.382352828979 | -7.027383804321 |
utt change to right:    20003686.wav    | -5.454936981201 | -7.54234790802 |
utt change to right:    20003687.wav    | -5.487125396729 | -7.13810634613 |
utt change to right:    20003688.wav    | -5.448393821716 | -7.252944946289 |
utt change to right:    20003689.wav    | -5.536108016968 | -7.137056827545 |
utt change to right:    20003692.wav    | -5.561438560486 | -7.444016456604 |
utt change to right:    20003694.wav    | -4.922441482544 | -6.869501113892 |
utt change to right:    20003698.wav    | -4.523991584778 | -6.966794967651 |
utt change to right:    20003700.wav    | -5.331995487213 | -7.302379608154 |
utt change to right:    20003701.wav    | -4.534759521484 | -6.927045822144 |
utt change to right:    20003702.wav    | -5.528515815735 | -7.419293403625 |
utt change to right:    20003703.wav    | -5.282814979553 | -7.239040374756 |
utt change to right:    20003708.wav    | -5.336853027344 | -7.316996574402 |
utt change to right:    20003713.wav    | -5.186206817627 | -6.854495048523 |
utt change to right:    20003720.wav    | -5.408173561096 | -6.858206748962 |
utt change to right:    20003722.wav    | -5.049022197723 | -7.196400642395 |
utt change to right:    20003727.wav    | -4.743801116943 | -6.965500831604 |
utt change to right:    20003729.wav    | -5.565074920654 | -7.715796470642 |
utt change to right:    20003730.wav    | -5.478444099426 | -7.023416519165 |
utt change to right:    20003731.wav    | -4.447769641876 | -6.851988792419 |
utt change to right:    20003732.wav    | -4.96980381012 | -7.356205463409 |
utt change to right:    20003734.wav    | -5.380264282227 | -7.234073162079 |
utt change to right:    20003738.wav    | -5.144600391388 | -7.516541004181 |
utt change to right:    20003740.wav    | -5.320737838745 | -7.180203437805 |
utt change to right:    20003741.wav    | -5.209597110748 | -7.189755439758 |
utt change to right:    20003743.wav    | -5.300454139709 | -7.739602565765 |
utt change to right:    20003744.wav    | -5.1241979599 | -7.149593830109 |
utt change to right:    20003745.wav    | -5.470224380493 | -7.30900144577 |
utt change to right:    20003746.wav    | -5.318040847778 | -7.433815002441 |
utt change to right:    20003748.wav    | -5.310029983521 | -7.384401798248 |
utt change to right:    20003749.wav    | -5.607447624207 | -7.389668941498 |
utt change to right:    20003750.wav    | -4.963507175446 | -7.149077892303 |
utt change to right:    20003752.wav    | -5.32026720047 | -7.545486450195 |
utt change to right:    20003756.wav    | -5.160423278809 | -7.597815036774 |
utt change to right:    20003757.wav    | -5.514482498169 | -7.252321243286 |
utt change to right:    20003759.wav    | -5.408188819885 | -7.105679035187 |
utt change to right:    20003767.wav    | -5.532592773438 | -7.511806964874 |
utt change to right:    20003769.wav    | -4.913179397583 | -7.07963848114 |
utt change to right:    20003770.wav    | -5.119825363159 | -6.950176239014 |
utt change to right:    20003772.wav    | -5.359519481659 | -7.745076179504 |
utt change to right:    20003775.wav    | -4.743810653687 | -7.03263759613 |
utt change to right:    20003786.wav    | -5.182928562164 | -7.272266387939 |
utt change to right:    20003793.wav    | -5.054293632507 | -6.975178718567 |
utt change to right:    20003794.wav    | -4.656810283661 | -7.047972679138 |
utt change to right:    20003797.wav    | -5.625500679016 | -7.412825584412 |
utt change to right:    20003799.wav    | -5.346080780029 | -7.681558609009 |
utt change to right:    20003809.wav    | -4.950867652893 | -7.007611274719 |
utt change to right:    20003812.wav    | -5.39922618866 | -7.490552902222 |
utt change to right:    20003816.wav    | -5.262621879578 | -7.797274112701 |
utt change to right:    20003824.wav    | -5.606333255768 | -7.783791065216 |
utt change to right:    20003825.wav    | -5.124814033508 | -7.093733787537 |
utt change to right:    20003827.wav    | -5.319344520569 | -7.034850120544 |
utt change to right:    20003828.wav    | -5.359416007996 | -7.220843791962 |
utt change to right:    20003835.wav    | -5.551561355591 | -7.705760478973 |
utt change to right:    20003836.wav    | -5.070021629333 | -6.834230422974 |
utt change to right:    20003839.wav    | -5.314126968384 | -7.513470649719 |
utt change to right:    20003840.wav    | -5.178670883179 | -7.740391254425 |
utt change to right:    20003843.wav    | -5.12836933136 | -7.353858470917 |
utt change to right:    20003845.wav    | -4.990824222565 | -7.393270492554 |
utt change to right:    20003846.wav    | -4.796547889709 | -6.844255924225 |
utt change to right:    20003847.wav    | -5.186654567719 | -6.979412078857 |
utt change to right:    20003851.wav    | -5.61238861084 | -7.407905101776 |
utt change to right:    20003853.wav    | -4.803542137146 | -6.861474514008 |
utt change to right:    20003854.wav    | -4.432007312775 | -6.872078895569 |
utt change to right:    20003855.wav    | -5.155426979065 | -7.681512832642 |
utt change to right:    20003860.wav    | -5.087653160095 | -7.387446880341 |
utt change to right:    20003861.wav    | -5.484844684601 | -7.517813682556 |
utt change to right:    20003865.wav    | -4.93959236145 | -7.285335063934 |
utt change to right:    20003866.wav    | -4.980706214905 | -7.358323097229 |
utt change to right:    20003867.wav    | -5.48202753067 | -7.26637172699 |
utt change to right:    20003868.wav    | -5.164291858673 | -7.129388809204 |
utt change to right:    20003869.wav    | -5.234259128571 | -7.159698009491 |
utt change to right:    20003870.wav    | -5.361406803131 | -7.413870811462 |
utt change to right:    20003871.wav    | -5.112765312195 | -7.614052772522 |
utt change to right:    20003873.wav    | -5.33445930481 | -7.23409986496 |
utt change to right:    20003877.wav    | -5.291194915771 | -6.978198051453 |
utt change to right:    20003880.wav    | -5.575430870056 | -7.475018501282 |
utt change to right:    20003881.wav    | -5.425545692444 | -7.192280292511 |
utt change to right:    20003882.wav    | -4.999086856842 | -6.87176322937 |
utt change to right:    20003883.wav    | -4.898023605347 | -7.093725204468 |
utt change to right:    20003884.wav    | -4.760900020599 | -6.99232339859 |
utt change to right:    20003887.wav    | -5.580138206482 | -7.512654781342 |
utt change to right:    20003891.wav    | -4.495917320251 | -6.929527282715 |
utt change to right:    20003892.wav    | -5.271984100342 | -7.484479427338 |
utt change to right:    20003895.wav    | -5.468132972717 | -7.701376914978 |
utt change to right:    20003896.wav    | -5.389266967773 | -7.148955345154 |
utt change to right:    20003898.wav    | -5.465859889984 | -6.900321960449 |
utt change to right:    20003903.wav    | -5.189973831177 | -7.083089828491 |
utt change to right:    20003904.wav    | -5.159209251404 | -6.900250434875 |
utt change to right:    20003905.wav    | -5.043173789978 | -6.869151115417 |
utt change to right:    20003910.wav    | -5.316270828247 | -7.054421424866 |
utt change to right:    20003916.wav    | -5.302163600922 | -6.914825439453 |
utt change to right:    20003917.wav    | -5.514801025391 | -7.417685508728 |
utt change to right:    20003920.wav    | -5.364478588104 | -7.460767269135 |
utt change to right:    20003921.wav    | -5.072445392609 | -7.021944046021 |
utt change to right:    20003923.wav    | -4.851969718933 | -7.208648204803 |
utt change to right:    20003926.wav    | -5.075124740601 | -7.324843406677 |
utt change to right:    20003927.wav    | -4.869607448578 | -7.12596321106 |
utt change to right:    20003928.wav    | -5.591149330139 | -7.433271884918 |
utt change to right:    20003929.wav    | -5.075600624084 | -6.948288917542 |
utt change to right:    20003930.wav    | -5.058807849884 | -7.398006439209 |
utt change to right:    20003932.wav    | -5.01949262619 | -7.184755325317 |
utt change to right:    20003933.wav    | -4.965806007385 | -7.362705230713 |
utt change to right:    20003936.wav    | -4.653880119324 | -6.921605110168 |
utt change to right:    20003941.wav    | -5.195693969727 | -7.119090080261 |
utt change to right:    20003948.wav    | -5.335561752319 | -7.070958614349 |
utt change to right:    20003952.wav    | -4.710751533508 | -6.876013755798 |
utt change to right:    20003953.wav    | -5.331616401672 | -7.527546405792 |
utt change to right:    20003955.wav    | -4.689172744751 | -6.861927032471 |
utt change to right:    20003957.wav    | -4.945913314819 | -6.942645072937 |
utt change to right:    20003959.wav    | -5.311992168427 | -7.360952854156 |
utt change to right:    20003960.wav    | -4.747494697571 | -6.830933570862 |
utt change to right:    20003963.wav    | -5.38129234314 | -6.988929748535 |
utt change to right:    20003971.wav    | -5.093939304352 | -7.215369701385 |
utt change to right:    20003972.wav    | -4.59211730957 | -6.850245475769 |
utt change to right:    20003973.wav    | -5.546225547791 | -7.594281196594 |
utt change to right:    20003974.wav    | -5.328493118286 | -7.551432609558 |
utt change to right:    20003976.wav    | -5.031768798828 | -7.417740821838 |
utt change to right:    20003979.wav    | -5.474110603333 | -7.507076263428 |
utt change to right:    20003980.wav    | -4.636791706085 | -6.973279476166 |
utt change to right:    20003984.wav    | -5.114608764648 | -7.165018081665 |
utt change to right:    20003986.wav    | -4.791693687439 | -7.209281921387 |
utt change to right:    20003987.wav    | -5.121366500854 | -6.874714851379 |
utt change to right:    20003996.wav    | -5.388718605042 | -7.061315536499 |
utt change to right:    20003997.wav    | -5.280297279358 | -7.432891845703 |
utt change to right:    20004001.wav    | -5.507978916168 | -7.508053779602 |
utt change to right:    20004002.wav    | -5.433683872223 | -6.929225921631 |
utt change to right:    20004017.wav    | -5.025042057037 | -7.138595581055 |
utt change to right:    20004018.wav    | -5.198609352112 | -6.87929725647 |
utt change to right:    20004019.wav    | -5.019104957581 | -6.941390514374 |
utt change to right:    20004024.wav    | -5.256977081299 | -6.945830345154 |
utt change to right:    20004025.wav    | -5.357426643372 | -7.223426818848 |
utt change to right:    20004031.wav    | -4.765389442444 | -7.16192150116 |
utt change to right:    20004035.wav    | -4.916177749634 | -7.229525566101 |
utt change to right:    20004046.wav    | -5.423773765564 | -6.865458488464 |
utt change to right:    20004047.wav    | -5.083804130554 | -7.006694316864 |
utt change to right:    20004052.wav    | -5.339346885681 | -7.387871742249 |
utt change to right:    20004053.wav    | -4.833146095276 | -6.909627914429 |
utt change to right:    20004054.wav    | -4.899537563324 | -7.211381912231 |
